Latitude,Longitude
8.1070488,98.9163254
8.1070461,98.9245450
8.1070361,98.9163971
8.1070358,98.9163969
8.1066734,98.9223992
8.1064672,98.9155094
8.1063810,98.9151081
8.1063774,98.9151300
8.1062656,98.9177308
8.106212611111111,98.91677091666668
8.106212611111111,98.91677091666668
8.1060675,98.9124980
8.1055767,98.9508386
8.1050503,98.9554439
8.1046626,98.9574207
8.1044072,98.9583741
8.1043303,98.9097541
8.1041519,98.9593275
8.1033785,98.9083577
8.1033722,98.9083605
8.1033471,98.9092370
8.1033171,98.9085410
8.1033169,98.9091745
8.1032215,98.9088114
8.1032128,98.9087605
8.1031530,98.9085963
8.1031468,98.9086488
8.1029907,98.9668863
8.1029853,98.9668886
8.1025005,98.9091089
8.1024686,98.9089525
8.1024046,98.9086397
8.1021696,98.9080366
8.1020374,98.9081735
8.1011168,98.9083602
8.1005640,98.9089860
8.1004843,98.9093434
8.1004789,98.9092924
8.1004702,98.9090399
8.1004658,98.9092887
8.1004467,98.9093310
8.1004428,98.9089999
8.1004341,98.9089737
8.1004211,98.9089791
8.1003747,98.9092760
8.1003714,98.9090959
8.1003342,98.9090227
8.1003333,98.9090700
8.1002905,98.9683091
8.1002788,98.9090508
8.1002382,98.9090724
8.1002376,98.9090803
8.1001385,98.9091475
8.1000292,98.9091968
8.1000017,98.9100999
8.0998857,98.9099394
8.0997666,98.9100907
8.0997390,98.9101632
8.0997374,98.9101680
8.0997266,98.9101521
8.0997207,98.9101391
8.0997068,98.9101587
8.0996985,98.9101664
8.0996378,98.9102334
8.0996159,98.9102249
8.0996096,98.9101927
8.0996070,98.9102252
8.0996048,98.9102060
8.0995769,98.9102130
8.0995549,98.9102023
8.0995215,98.9101921
8.0995204,98.9101711
8.0994679,98.9101381
8.0989056,98.3068020
8.0988656,98.9756867
8.0986076,98.9736729
8.0985208,98.9824058
8.0985208,98.9824055
8.0980584,98.9822942
8.0980193,98.9762809
8.0976813,98.9760409
8.0976804,98.9821210
8.0976389,98.9821988
8.0976373,98.9822054
8.0976362,98.9821853
8.0976350,98.9822004
8.0976306,98.9821989
8.0976299,98.9821883
8.0976295,98.9821763
8.0976294,98.9821922
8.0976274,98.9822015
8.0976269,98.9821877
8.0976269,98.9821872
8.0976257,98.9822007
8.0976254,98.9821879
8.0976253,98.9821903
8.0976247,98.9821990
8.0976233,98.9821968
8.0976227,98.9822012
8.0976226,98.9821872
8.0976218,98.9822021
8.0976198,98.9821979
8.0976175,98.9821937
8.0976161,98.9822143
8.0976155,98.9821795
8.0976154,98.9822007
8.0976120,98.9821863
8.0976106,98.9821883
8.0976096,98.9822152
8.0976069,98.9821921
8.0976050,98.9822123
8.0976008,98.9822057
8.0975991,98.9822030
