Latitude,Longitude
7.614947222222222,98.3622361111111
7.6116512,98.7558902
7.6113714,99.0358593
7.609999999999999,98.37124722222221
7.6054506,98.3758863
7.6041367,99.0347532
7.5999811,99.1058234
7.5991581,99.0342922
7.5984342,98.3693262
7.5965685277777775,99.06819152777777
7.5946273,99.0354289
7.5904884,98.3709757
7.590206638888889,99.11057280555555
7.587629,98.3536776
7.5869851,99.0690733
7.5838261,99.033837
7.5830865,99.0518397
7.5781212,99.0344381
7.575792,99.105481
7.5712307,99.0352976
7.5682313,99.0689898
7.5653832,99.0411168
7.564066416666667,99.07908627777778
7.5576564,99.0688463
7.5531163,99.0588132
7.5525327,99.0420621
7.5483122,99.0568917
7.5482572,98.3507729
7.5418838,99.04778
7.540485,99.0738167
7.5367844,99.0493038
7.5356699,99.0891756
7.5313737,99.0942211
7.5306101,99.0514351
7.5246536,99.0950201
7.5222592,99.0574251
7.5025601,99.0675334
7.498468,99.07393
7.4938978,99.0760254
7.488993638888889,99.0811538611111
7.4857268,99.1082827
7.484533305555556,99.08511349999999
7.4689848,99.125214
7.4672928,99.0163766
7.443232,99.1269021
7.3984238,99.0162254
7.2605861,43.7041982
65.9802787,-18.5135547
65.9707002,-18.5326927
65.9656356,-18.5471535
65.2734062,-14.3687928
65.2711441,-13.984394
65.2668743,-14.3948469
65.2598493,-14.0101156
65.2543352,-14.0164947
65.2513051,-14.4259648
65.24472777777778,-13.610063888888888
65.24129444444445,-13.614763888888888
65.22921111111111,-13.644305555555555
65.22563055555555,-13.636419444444444
65.21545277777778,-13.663013888888889
65.2140888888889,-13.669247222222221
65.20675,-13.871905555555555
65.20656666666667,-13.879230555555557
65.20632222222223,-13.746227777777777
65.20494166666667,-13.800386111111111
65.20435277777779,-13.814288888888889
65.2042388888889,-13.793952777777777
65.19566388888889,-13.979533333333334
65.19416944444446,-13.992669444444443
65.0410371,-14.1858386
65.0354339,-14.2159928
65.0292999,-14.2456629
64.8392798,-13.848119
64.8335184,-13.8731793
64.8290054,-13.8910217
64.7968685,-13.9977837
64.7926288,-14.0079386
64.7875751,-14.0249719
64.6610032,-14.2723035
64.656888,-14.2900509
64.6515242,-14.3050575
64.2643174,-15.1909054
64.2497025,-15.2020076
64.2433489,-15.2186594
64.20214166666666,-20.39112777777778
64.19569444444444,-15.745491666666666
64.18003888888889,-15.896158333333332
64.1771669,-21.7183826
64.17635277777778,-20.48151111111111
64.15258055555556,-20.550822222222223
64.147694,-21.9395494
64.13819166666667,-23.365561111111113
64.13160833333333,-16.04376388888889
64.13014166666666,-16.059852777777778
64.1265205,-21.8174393
64.11781944444444,-16.081152777777778
64.10645277777778,-21.8434
64.09112499999999,-23.057894444444447
64.0898138,-21.9865021
64.08485277777777,-23.024180555555553
64.0717629,-16.9738265
64.04918611111111,-16.180997222222224
64.04360833333332,-16.17703888888889
64.04159444444444,-20.886602777777778
64.02983055555555,-16.93
64.02771666666666,-21.42071388888889
64.02590277777777,-16.937241666666665
64.02532222222221,-22.120483333333333
64.0249489,-22.5303613
64.02215555555556,-21.30977777777778
64.0215,-16.940697222222223
64.02072222222222,-22.137077777777776
64.01894444444444,-21.403819444444444
64.01886111111111,-22.153333333333332
64.0139,-21.225088888888887
64.00880000000001,-21.2186
63.9997549,-22.5582716
63.9966367,-22.6224885
63.9805479,-22.6025678
63.9804258,-16.8517856
63.97516388888889,-17.001530555555554
63.95782222222223,-17.550730555555557
63.957486111111116,-17.538069444444446
63.954636111111114,-17.444972222222223
63.9536584,-20.9677504
63.93642777777777,-17.70114722222222
63.9334611,-21.0013833
63.925777777777775,-17.70971388888889
63.9214543,-21.0458565
63.91050833333333,-17.722594444444443
63.86978611111111,-17.79354166666667
63.866927777777775,-17.801986111111113
63.864247222222225,-17.809858333333334
63.859341666666666,-17.82102777777778
63.854886111111114,-17.83073611111111
63.85327222222222,-17.873725
63.85268888888889,-17.883858333333333
63.851905555555554,-17.840652777777777
63.85123055555556,-17.896416666666667
63.84935,-17.909274999999997
63.844188888888894,-17.9411
63.8436765,-20.3774929
63.83676944444445,-17.969905555555552
63.8354933,-20.3918915
63.83088055555556,-17.97046111111111
63.8276864,-20.4051733
63.81902222222222,-18.001369444444446
63.78423055555555,-18.04546666666667
63.77738611111111,-18.059819444444447
63.77312222222222,-18.071602777777777
63.767780555555554,-18.084538888888886
63.76206666666667,-18.120250000000002
63.75745,-18.12869166666667
63.64088888888889,-18.42405
63.605225000000004,-19.989272222222223
63.565574999999995,-19.848258333333334
63.42039444444444,-18.933325
63.41975,-18.942586111111112
63.418502777777775,-18.96837222222222
63.41826111111111,-18.976344444444443
52.550749999999994,4.692313888888889
52.54654722222222,4.695577777777778
52.4311573,5.0683903
52.37844166666667,4.89985
52.374383333333334,4.8949333333333325
52.36230833333333,4.927469444444445
52.3182742,4.7288558
51.9014413,0.1996332
51.8923258,0.2660387
51.8863523,0.1751005
51.8666644,0.1652072
51.8579809,0.1706262
